T,K(cr),K(L),KOH(a),KOH(b),KOH(L),K2O2(s),K2O(s),KO2(s),H2O(s),H2O(L),Electron,H,H+,H-,HO2,H2,H2+,H2-,H2O,H2O+,H2O2,H3O+,K,K+,KH,KO,KO-,KOH,KOH+,K2,K2O2H2,O,O+,O-,OH,OH+,OH-,O2,O2+,O2-,O3
1350.0,1.02999999822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,8.87965545566e-13,7.62629128718e-07,1.04916723986e-44,1.55706080552e-17,3.07082627033e-73,0.319999618684,5.99391516903e-45,5.35730532706e-23,4.19793889655e-29,1.24301011832e-62,9.32202204022e-71,1.23875216466e-51,1.77379470933e-09,8.87981116228e-13,2.72290648006e-12,1.23708668442e-44,1.34271783197e-50,2.21455756511e-36,1.86163741615e-50,1.80678143775e-19,4.18996170422e-72,3.61544038783e-42,4.0450643035e-80,4.43751216554e-50,1.62453768075e-36,1.60289838638e-71,1.67995881644e-43,2.29408874112e-70,2.99192226971e-102,1.1895074909e-81,5.31453626601e-114
1400.0,1.02999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,3.45448292766e-13,1.5564972071e-06,3.91934563503e-42,8.9554166824e-18,3.56956617182e-86,0.319999221751,1.93979573861e-42,4.16087431729e-23,6.37896776516e-36,2.56264900902e-67,6.70708269698e-84,7.41775374413e-57,6.46666877008e-11,3.45457248225e-13,1.10637344969e-13,1.43461714418e-52,2.89890003818e-59,9.79873937443e-45,2.32582766762e-57,1.98643943338e-22,4.44041731698e-89,2.72758013261e-48,5.60450438584e-84,7.58429246427e-57,6.16597734676e-43,9.00151925528e-76,1.29133870609e-50,2.59583265934e-83,3.88239250248e-113,4.21118483834e-95,3.19791501145e-133
1450.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,1.05063913185e-13,3.02639039829e-06,1.3335776514e-39,3.91031196523e-18,3.00657002385e-101,0.319998486805,5.77408900775e-40,2.40328989909e-23,8.71964236009e-44,4.63902422643e-73,3.61471482614e-99,4.24763206153e-63,1.58461717512e-12,1.05067823521e-13,2.99963774748e-15,9.56471600385e-62,2.95052306106e-69,2.66468423383e-54,1.942375265e-65,9.98150814306e-26,1.85550577627e-108,1.65903787231e-55,5.98412393686e-89,8.45460054162e-65,1.97714164001e-50,4.14410344271e-81,6.83648587185e-59,2.1325372659e-98,3.61123750877e-126,8.56499627651e-111,0.0
1500.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,2.48722481066e-14,5.63290633692e-06,4.2937711626e-37,1.29446798718e-18,1.15888051442e-118,0.319997183547,1.6408110688e-37,1.033044769e-23,8.47437051005e-53,6.01315327314e-80,9.18558779195e-117,1.88073493943e-70,2.56308990065e-14,2.48735425849e-14,5.33306315465e-17,2.85976540469e-72,1.0944160406e-80,3.45091869005e-65,8.57579859374e-75,2.2080900122e-29,1.82772547173e-130,6.50051272845e-64,4.06787152055e-95,4.87404744319e-74,4.2596379051e-59,1.28419216348e-87,1.9658199182e-68,8.03135082452e-116,1.56687444734e-141,6.28455722194e-129,0.0
1550.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,4.55984631497e-15,1.00784092538e-05,1.35421928652e-34,3.24070846894e-19,1.25971907892e-138,0.319994960795,4.60397708272e-35,3.30232914286e-24,4.5748718628e-63,4.48668805796e-88,6.76290676736e-137,5.13811254383e-79,2.68660153333e-16,4.56017038912e-15,6.10805071453e-19,2.95397378589e-84,1.12925386021e-93,1.63006792834e-77,1.5627395426e-85,2.07063216059e-33,2.48020695213e-155,1.29410976982e-73,1.43139374936e-102,1.13697007427e-84,4.84361965329e-69,2.16624405167e-95,2.39094145229e-79,8.54329820936e-136,2.00855693724e-159,1.01876868366e-149,0.0
1600.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,6.43676457486e-16,1.73979325508e-05,4.3177822849e-32,6.11440729784e-20,0.0,0.319991301034,1.31547262199e-32,7.83593173371e-25,1.05949753488e-74,1.5279023022e-97,0.0,6.82264730676e-89,1.79118691902e-18,6.43737602343e-16,4.42571448788e-21,8.0212339045e-98,2.44356292399e-108,2.12611846781e-91,9.06001371825e-98,7.9225526405e-38,0.0,1.01934122623e-84,2.08773382916e-111,8.28835499394e-97,2.25571643344e-80,1.58534075681e-104,9.4604733547e-92,1.54363903453e-158,4.69221895121e-180,0.0,0.0
1650.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,6.95253209544e-17,2.90704293992e-05,1.43260002925e-29,8.65719406155e-21,0.0,0.319985464785,3.93727180094e-30,1.37617228424e-25,8.03617261157e-88,1.85761688534e-108,0.0,3.42483838597e-100,7.45392348731e-21,6.9533978286e-17,1.99175729743e-23,4.30405334e-113,8.25717002161e-125,5.73032846088e-107,1.27209630668e-111,1.19009323795e-42,0.0,2.44311396285e-97,9.95960347334e-122,1.43979721599e-110,3.29847929761e-93,3.95557297483e-115,9.25234999041e-106,2.78127404302e-184,1.20072900651e-203,0.0,0.0
1700.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,5.70759679925e-18,4.7151032916e-05,5.08037836182e-27,9.1526855103e-22,0.0,0.319976424484,1.26718566833e-27,1.78211524147e-26,1.50661948211e-102,6.22485583933e-121,0.0,4.99225391072e-113,1.89961834416e-23,5.70851207928e-18,5.46483278864e-26,3.38930817791e-130,3.20537308722e-143,2.36080929109e-124,3.25242346416e-127,6.7517171879e-48,0.0,1.35338709609e-111,1.20898612309e-133,4.48789479396e-126,1.14720522532e-107,2.60822871161e-127,1.67875859637e-121,2.86447825434e-213,1.97224860512e-230,0.0,0.0
1750.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,3.53595292649e-19,7.44241661052e-05,1.97409108021e-24,7.18539881866e-23,0.0,0.319962787917,4.49354086833e-25,1.69406199071e-27,5.20885917755e-119,4.38147437551e-135,0.0,1.60319496211e-127,2.90837220072e-26,3.53664724886e-19,8.97081715382e-29,2.87427268543e-149,0.0,1.08717014787e-143,1.12466123478e-144,1.39133069754e-53,0.0,1.30022599074e-127,2.86535830492e-147,1.86680902823e-143,7.10347572838e-124,3.47611050795e-141,4.19077026539e-139,9.43996716988e-246,1.18826363948e-260,0.0,0.0
1800.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,1.69199061375e-20,0.000114576489097,8.34240749887e-22,4.29316148902e-24,0.0,0.319942711755,1.74179187058e-22,1.21272070713e-28,2.44936335174e-137,4.72688682577e-151,0.0,8.24380366635e-144,2.62387730993e-29,1.59157794833e-20,8.64476177349e-32,0.0,0.0,4.04527796364e-165,3.74278957479e-164,1.00140503886e-59,0.0,0.0,9.73409809021e-163,0.0,0.0,6.85463925754e-157,0.0,5.44231655213e-282,0.0,0.0,0.0
